Year,Yield_sorghum,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
1977-01-01,21.0,0.1,0.32,0.1,1.77,0.6,0.25,2.96,3.53,0.08,0.0,45.23,56.79,60.16,69.83,81.26,91.03,93.84,88.0,85.77,72.13,27.61,38.12,41.95,54.22,65.26,74.22,77.5,74.1,67.42,53.74,10.0,19.46,23.74,38.6,49.26,57.4,61.16,60.19,49.07,35.35,64.0,75.0,76.0,86.0,91.0,101.0,102.0,100.0,99.0,86.0,-7.0,6.0,14.0,17.0,42.0,50.0,51.0,53.0,33.0,20.0
1976-01-01,21.0,0.15,0.11,0.86,0.88,0.68,1.34,2.08,0.88,2.73,0.98,48.9,57.83,55.74,67.83,74.42,87.17,92.84,88.39,77.73,63.03,30.87,40.17,38.53,51.33,59.45,69.32,76.55,72.45,63.77,48.44,12.84,22.52,21.32,34.83,44.48,51.47,60.26,56.52,49.8,33.84,73.0,73.0,78.0,80.0,87.0,100.0,100.0,97.0,95.0,83.0,-6.0,6.0,-8.0,21.0,34.0,41.0,52.0,49.0,36.0,22.0
1975-01-01,22.0,0.07,0.24,0.12,0.85,0.69,2.05,2.19,2.24,0.06,0.61,47.1,48.0,55.29,64.6,76.1,86.37,91.94,92.1,79.83,75.16,31.61,33.5,40.47,49.25,59.82,69.93,76.82,75.27,63.98,54.53,16.13,19.0,25.65,33.9,43.55,53.5,61.71,58.45,48.13,33.9,69.0,70.0,77.0,87.0,86.0,99.0,99.0,101.0,95.0,91.0,-7.0,-3.0,7.0,2.0,34.0,40.0,53.0,48.0,34.0,14.0
1974-01-01,26.0,0.4,0.17,0.45,0.29,1.17,1.7,1.23,1.75,0.65,0.86,39.77,53.54,62.23,68.1,83.39,88.63,95.48,87.65,78.1,71.27,26.27,36.84,46.95,51.3,65.55,72.42,78.65,72.79,63.3,57.05,12.77,20.14,31.68,34.5,47.71,56.2,61.81,57.94,48.5,42.94,70.0,72.0,82.0,87.0,98.0,103.0,101.0,98.0,97.0,86.0,-21.0,7.0,12.0,18.0,33.0,42.0,54.0,51.0,37.0,28.0
1973-01-01,25.0,0.11,0.07,1.34,1.64,1.84,0.38,3.23,1.77,1.19,0.76,41.58,51.21,54.71,61.0,72.48,89.23,90.29,93.42,79.1,73.81,29.48,35.11,42.66,46.98,59.37,71.18,75.24,76.47,64.72,56.19,17.39,19.0,30.61,32.97,46.26,53.13,60.19,59.52,50.33,38.58,66.0,65.0,73.0,81.0,88.0,100.0,105.0,101.0,91.0,89.0,-5.0,8.0,19.0,21.0,34.0,40.0,51.0,55.0,38.0,26.0
1972-01-01,23.0,0.35,0.13,0.93,0.68,0.84,0.98,1.99,1.96,1.12,1.05,47.74,57.45,64.65,68.97,75.55,90.23,90.06,89.26,81.73,67.42,29.77,38.6,45.87,52.83,60.35,73.22,74.39,74.16,66.45,53.82,11.81,19.76,27.1,36.7,45.16,56.2,58.71,59.06,51.17,40.23,72.0,79.0,81.0,85.0,90.0,94.0,103.0,98.0,94.0,87.0,-14.0,-2.0,8.0,24.0,26.0,47.0,50.0,47.0,34.0,22.0
1971-01-01,38.0,0.42,0.23,0.55,0.88,0.73,0.66,1.93,0.85,1.2,0.2,50.84,50.36,60.61,65.57,75.39,91.87,89.87,89.97,78.0,70.29,34.92,34.63,41.68,49.85,58.45,73.4,75.34,74.52,62.13,52.73,19.0,19.3,22.74,34.13,41.52,54.93,60.81,59.06,46.27,35.16,78.0,69.0,82.0,80.0,87.0,104.0,105.0,96.0,99.0,85.0,-17.0,7.0,6.0,15.0,32.0,43.0,55.0,52.0,29.0,18.0
1970-01-01,31.0,0.25,0.0,0.92,1.32,0.44,0.77,0.7,1.64,1.24,1.55,48.06,59.14,53.13,66.0,81.74,90.7,95.65,95.13,82.33,64.26,31.68,41.79,39.15,50.82,65.19,73.12,80.31,79.84,65.7,49.98,15.29,24.43,25.16,35.63,48.65,55.53,64.97,64.55,49.07,35.71,72.0,77.0,73.0,84.0,97.0,104.0,103.0,102.0,97.0,87.0,-11.0,12.0,10.0,23.0,33.0,39.0,59.0,56.0,32.0,20.0
1969-01-01,27.0,0.04,0.05,0.82,0.54,0.87,1.74,1.73,1.58,1.28,2.04,51.39,53.36,49.13,70.67,77.84,81.07,93.77,92.26,83.93,61.48,36.47,37.73,36.29,56.05,64.34,68.0,80.21,78.97,69.8,49.9,21.55,22.11,23.45,41.43,50.84,54.93,66.65,65.68,55.67,38.32,69.0,67.0,77.0,87.0,94.0,100.0,103.0,104.0,93.0,90.0,5.0,5.0,7.0,30.0,42.0,46.0,59.0,56.0,47.0,23.0
1968-01-01,29.0,0.1,0.54,0.78,0.68,1.62,0.29,4.41,0.9,0.52,0.29,41.52,47.21,57.1,64.83,72.71,89.33,88.87,87.06,83.93,75.03,27.92,35.24,42.76,50.15,59.32,71.47,74.47,71.45,68.0,57.94,14.32,23.28,28.42,35.47,45.94,53.6,60.06,55.84,52.07,40.84,64.0,62.0,79.0,80.0,90.0,102.0,97.0,96.0,93.0,90.0,-8.0,16.0,12.0,21.0,34.0,45.0,51.0,40.0,41.0,20.0
1967-01-01,35.0,0.13,0.12,0.23,2.03,1.25,2.03,3.59,1.07,0.83,0.79,51.1,52.89,61.45,69.9,72.94,82.9,88.87,84.77,77.2,68.61,34.55,36.0,45.34,54.48,58.97,69.05,75.81,71.79,63.53,52.31,18.0,19.11,29.23,39.07,45.0,55.2,62.74,58.81,49.87,36.0,67.0,67.0,79.0,84.0,96.0,93.0,97.0,95.0,90.0,86.0,-3.0,5.0,2.0,33.0,34.0,47.0,57.0,52.0,38.0,23.0
1966-01-01,37.0,0.31,0.17,0.05,0.24,0.38,0.7,1.68,1.34,1.05,0.21,42.39,46.61,63.16,67.7,81.52,87.7,95.13,86.48,82.83,69.26,25.48,31.91,44.08,50.37,62.35,70.75,79.89,72.66,67.59,51.45,8.58,17.21,25.0,33.03,43.19,53.8,64.65,58.84,52.17,33.65,63.0,61.0,84.0,84.0,94.0,96.0,102.0,97.0,94.0,84.0,-13.0,-4.0,3.0,19.0,30.0,46.0,59.0,48.0,45.0,18.0
1965-01-01,37.0,0.19,0.71,0.42,1.46,0.3,2.79,2.41,2.69,1.12,0.38,54.68,45.14,46.29,69.6,77.65,84.7,92.39,87.52,75.17,75.68,36.47,29.5,31.5,53.73,61.27,69.55,76.76,72.18,61.58,55.98,18.26,13.86,16.71,37.87,44.9,54.4,61.13,56.84,48.0,36.29,68.0,70.0,76.0,88.0,90.0,95.0,102.0,95.0,90.0,89.0,5.0,-12.0,-7.0,26.0,32.0,45.0,54.0,52.0,31.0,30.0
1964-01-01,23.0,0.04,0.2,1.11,0.03,1.88,0.13,0.73,2.7,1.11,0.02,49.13,43.52,49.32,65.83,78.16,86.07,96.39,90.06,82.57,74.58,33.19,27.66,33.92,49.52,61.29,69.35,78.76,73.34,67.07,54.79,17.26,11.79,18.52,33.2,44.42,52.63,61.13,56.61,51.57,35.0,65.0,64.0,74.0,85.0,94.0,98.0,102.0,99.0,98.0,92.0,-3.0,-7.0,-10.0,21.0,31.0,42.0,51.0,42.0,38.0,21.0
1963-01-01,26.0,0.33,0.28,0.32,0.0,0.39,0.46,0.25,2.28,0.98,0.25,35.74,54.54,58.35,72.17,80.65,89.83,96.16,87.71,84.97,78.0,19.32,38.66,42.15,55.5,64.31,72.92,79.81,74.37,70.03,61.05,2.9,22.79,25.94,38.83,47.97,56.0,63.45,61.03,55.1,44.1,67.0,77.0,84.0,85.0,93.0,103.0,103.0,102.0,93.0,88.0,-26.0,-3.0,9.0,27.0,36.0,46.0,57.0,55.0,44.0,33.0
