Year,Yield_sorghum,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
1976-01-01,45.0,0.21,0.22,0.74,1.29,1.81,1.23,2.47,0.6,1.22,0.77,41.3,46.17,54.3,63.02,72.39,83.5,92.06,89.85,78.74,65.94,26.05,30.63,38.43,46.66,52.5,63.83,72.53,70.26,61.24,48.91,10.87,14.82,22.5,30.33,32.61,44.24,53.0,50.79,43.74,31.9,60.36,64.11,73.98,80.49,87.0,96.0,102.0,97.0,92.41,83.24,-11.8,-6.55,4.2,14.98,16.0,20.0,49.0,40.0,29.59,15.42
1975-01-01,28.0,0.03,0.22,0.74,1.29,2.13,1.95,2.15,1.79,1.22,0.77,44.13,50.67,54.3,63.02,72.41,82.75,89.88,87.39,78.74,65.94,27.78,31.33,38.43,46.66,56.25,66.03,72.62,70.41,61.24,48.91,11.93,12.0,22.5,30.33,40.08,49.32,55.39,53.43,43.74,31.9,64.0,55.0,73.98,80.49,88.84,95.87,99.98,97.38,92.41,83.24,-8.0,7.0,4.2,14.98,26.07,37.0,46.35,43.96,29.59,15.42
1974-01-01,36.0,0.97,0.11,1.89,2.64,0.0,2.66,1.47,0.0,0.37,1.02,35.19,48.89,57.06,61.93,77.27,84.83,93.0,86.03,77.43,70.67,21.71,33.54,41.44,45.93,58.8,66.72,73.24,68.5,57.93,52.39,8.23,18.18,25.81,30.53,40.58,48.6,53.48,50.97,38.43,34.21,57.0,59.0,74.0,81.0,91.0,98.0,100.0,95.0,95.0,84.0,-24.0,4.0,11.0,18.0,27.0,34.0,40.0,42.0,24.0,20.0
1973-01-01,36.0,0.52,0.22,1.42,2.5,0.5,1.73,3.75,1.38,2.7,0.18,36.87,45.0,48.94,57.2,69.93,83.33,86.1,89.26,73.87,68.94,24.34,30.3,36.87,42.35,53.55,65.07,69.23,69.66,58.38,51.29,11.81,15.61,24.81,27.5,37.32,46.8,52.35,50.06,42.9,33.65,56.0,58.0,62.0,75.0,86.0,96.0,104.0,97.0,88.0,81.0,-10.0,-8.0,19.0,14.0,28.0,30.0,44.0,45.0,28.0,20.0
1972-01-01,42.0,0.45,0.05,0.23,0.87,0.57,2.45,1.2,3.33,2.11,0.59,41.1,52.24,61.32,65.87,73.26,84.8,88.55,86.42,76.8,64.73,22.94,33.45,42.11,46.62,55.08,68.2,69.92,70.29,60.48,48.75,4.77,14.66,22.9,27.37,36.9,51.6,51.29,54.16,44.17,32.71,52.0,71.0,78.0,80.0,89.0,91.0,100.0,100.0,89.0,82.0,-23.0,-3.0,10.0,13.0,23.0,45.0,42.0,44.0,27.0,15.0
1971-01-01,39.0,0.37,0.24,0.79,2.8,2.38,1.52,0.98,1.14,2.46,0.63,40.23,43.29,51.77,62.67,68.87,86.0,89.0,90.77,75.34,65.1,25.76,30.56,34.84,46.42,53.68,67.52,71.06,72.19,57.48,47.89,11.29,16.89,17.9,30.17,38.48,48.72,53.13,53.61,39.6,30.68,67.0,63.0,79.0,79.0,84.0,101.0,101.0,97.0,95.0,84.0,-30.0,3.0,-11.0,11.0,29.0,36.0,36.0,45.0,24.0,12.0
1970-01-01,32.0,0.02,0.25,1.16,1.33,0.99,2.98,2.71,0.31,1.13,0.55,43.84,55.07,45.9,59.13,77.14,83.62,90.19,91.84,77.73,61.61,27.06,35.71,31.76,42.17,58.16,65.79,72.42,72.71,59.38,45.05,10.29,16.36,17.61,25.2,39.58,47.96,54.65,53.58,41.03,28.48,68.0,69.0,66.0,78.0,90.0,100.0,97.0,100.0,93.0,83.0,-12.0,4.0,-0.0,13.0,21.0,35.0,47.0,41.0,29.0,18.0
1969-01-01,19.0,0.21,0.07,0.23,1.15,2.73,3.48,2.43,2.28,1.9,3.02,41.3,48.41,48.58,67.96,74.32,75.93,91.23,91.06,81.73,51.84,26.05,34.47,31.68,50.26,57.94,61.12,73.61,73.45,64.4,39.81,10.87,20.53,14.77,32.7,41.55,46.3,56.0,55.84,47.07,27.77,60.36,63.0,76.0,80.0,94.0,96.0,101.0,101.0,91.0,83.0,-11.8,9.0,-5.0,18.0,29.0,27.0,51.0,49.0,37.0,-1.0
1968-01-01,36.0,0.21,0.18,0.0,0.2,1.67,1.88,2.01,1.09,0.22,0.35,41.3,51.68,58.93,59.97,67.94,84.63,86.0,89.52,78.97,72.17,26.05,35.86,42.47,43.55,52.08,65.5,69.09,72.1,60.16,55.57,10.87,20.04,25.12,27.43,36.23,46.37,51.91,54.64,41.61,38.97,60.36,70.0,70.0,76.0,82.0,97.0,93.0,96.0,91.0,82.0,-11.8,11.0,8.0,13.0,26.0,36.0,33.0,42.0,33.0,16.0
1967-01-01,21.0,0.0,0.22,0.74,2.56,2.51,4.28,2.94,1.9,0.56,0.04,50.19,46.17,60.31,66.5,68.45,76.87,85.75,84.76,79.46,75.83,32.23,30.63,42.78,48.55,52.15,61.18,70.08,66.52,62.08,56.11,14.26,14.82,25.3,30.6,35.84,45.5,54.28,48.28,42.79,35.59,62.0,64.11,80.0,80.0,92.0,87.0,97.0,93.0,89.0,88.0,-10.0,-6.55,3.0,12.0,25.0,36.0,48.0,40.0,30.0,22.0
1966-01-01,51.0,0.23,0.0,0.0,0.37,0.13,3.23,2.11,2.61,1.72,1.04,39.35,41.11,60.47,61.07,80.35,84.33,94.5,91.0,78.74,65.94,22.1,25.34,40.0,42.69,57.32,65.08,75.05,70.24,61.24,48.91,4.83,9.57,18.93,24.55,34.29,45.83,55.1,49.14,43.74,31.9,55.0,56.0,77.0,80.0,94.0,101.0,102.0,98.0,92.41,83.24,-30.0,-11.0,-11.0,8.0,18.0,34.0,48.0,39.0,29.59,15.42
1965-01-01,38.0,0.33,0.3,0.37,0.9,4.03,4.39,3.77,2.69,2.17,0.63,48.84,43.61,43.48,66.9,73.35,78.03,88.26,85.68,69.07,72.94,31.79,27.32,28.24,49.9,56.81,63.95,71.48,67.87,54.22,53.58,14.74,11.04,13.0,32.9,40.26,49.87,54.71,50.06,39.37,34.23,65.0,68.0,72.0,84.0,84.0,87.0,95.0,97.0,83.0,86.0,1.0,-13.0,-12.0,24.0,28.0,40.0,47.0,43.0,24.0,24.0
1964-01-01,30.0,0.0,0.02,0.75,0.55,1.46,2.15,0.84,0.22,0.45,0.19,44.55,42.86,48.48,63.31,76.19,81.62,97.1,89.29,81.5,71.87,28.4,26.93,31.69,46.5,58.1,64.26,76.95,70.23,61.08,50.47,12.26,11.0,14.9,29.69,40.0,46.9,56.81,51.16,40.67,29.06,62.0,58.0,71.0,82.0,92.0,95.0,104.0,101.0,95.0,86.0,-11.0,-13.0,-0.0,14.0,28.0,33.0,48.0,33.0,27.0,14.0
1963-01-01,33.0,0.21,0.22,0.74,1.29,2.13,0.0,1.85,4.46,2.23,0.98,41.3,46.17,54.3,63.02,72.41,95.8,95.29,85.43,83.48,74.9,26.05,30.63,38.43,46.66,56.25,75.05,76.23,71.08,66.16,56.24,10.87,14.82,22.5,30.33,40.08,54.3,57.16,56.73,48.83,37.58,60.36,64.11,73.98,80.49,88.84,101.0,104.0,102.0,92.0,89.0,-11.8,-6.55,4.2,14.98,26.07,49.0,51.0,51.0,36.0,32.0
